Rk,Gtm,Date,Loc,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
34,34,2019 05 04,x,ARI,"L,2-9",9,12,9,9,0,4,3,3,0,4.7,42,147,100,0,0,0,0,37,4,0,1,0,1,0,1,3,Tripp Gibson,"K.Freeland (4-21-L), Y.Almonte (21), D.Johnson (5)"
35,35,2019 05 05,x,ARI,"W,8-7",9,11,7,7,0,2,10,2,0,4.76,41,155,98,0,0,2,0,38,2,0,0,0,1,1,0,4,Mark Carlson,"G.Marquez (4-45), C.Estevez (2), S.Oberg (3-W), W.Davis (2-Sv)"
36,36,2019 05 07,x,SFG,"L,4-14",9,16,14,14,0,5,6,3,1,5.02,47,202,120,1,1,0,0,41,2,1,0,0,0,0,1,6,Ted Barrett,"A.Senzatela (5-22-L), Y.Almonte (2), M.Dunn (4), B.Shaw (3), S.Oh (3), 
D.Johnson (2)"
37,37,2019 05 09,x,SFG,"W,12-11",9,9,11,9,2,7,10,2,0,5.12,44,191,109,1,0,1,0,37,3,0,0,0,0,2,1,5,Nic Lentz,"K.Freeland (4-42), B.Shaw (1-BW), C.Estevez (3-H), S.Oberg (3-H), W.Davis 
(3-Sv)"
38,38,2019 05 10,x,SDP,"W,12-2",9,12,2,2,0,0,9,0,1,5.04,41,130,89,1,0,0,0,40,1,0,0,0,0,1,0,3,Brian O'Nora,"G.Marquez (4-48-W), Y.Almonte (2), C.Bettis (6)"
39,39,2019 05 11,x,SDP,"L,3-4",9,9,4,4,0,3,12,2,0,5.02,38,145,95,2,0,1,1,34,1,0,0,1,0,0,1,4,James Hoye,"J.Gray (8-51), M.Dunn (3), C.Estevez (1), W.Davis (1-L)"
40,40,2019 05 12,x,SDP,"W,10-7",9,10,7,7,0,3,10,1,0,5.06,40,148,88,2,2,0,0,36,2,0,0,0,1,0,0,5,Mark Ripperger,"A.Senzatela (4-59-W), C.Estevez (0-H), B.Shaw (2), S.Oh (4), S.Oberg (2)"
41,41,2019 05 14,@,BOS,"W,5-4",11,9,4,3,1,4,10,3,0,4.99,46,180,115,1,0,1,0,42,1,0,0,0,0,2,1,6,Dan Bellino,"K.Freeland (4-54), B.Shaw (1), S.Oberg (1-BSv), C.Estevez (1), M.Dunn 
(2-W), W.Davis (2-Sv)"
42,42,2019 05 15,@,BOS,"L,5-6",9,13,6,6,0,5,8,1,0,5.01,43,134,88,4,0,0,0,38,2,1,2,0,0,0,1,6,Sean Barber,"G.Marquez (4-39), M.Dunn (0), C.Estevez (0), S.Oberg (0), B.Shaw (0), 
C.Bettis (4-L)"
43,43,2019 05 17,@,PHI,"L,4-5",8,8,5,5,0,3,12,1,0,5.02,33,140,93,2,2,0,2,30,5,0,0,0,0,0,0,3,Angel Hernandez,"J.Gray (5-39-L), C.Estevez (1), B.Shaw (1)"
44,44,2019 05 18,@,PHI,"L,1-2",8,6,2,1,1,5,4,1,0,4.95,35,152,91,1,0,0,0,30,2,0,0,0,0,1,1,5,Ed Hickox,"A.Senzatela (5-49-L), M.Dunn (2), S.Oh (5), J.McGee (46), S.Oberg (2)"
45,45,2019 05 19,@,PHI,"L,5-7",8,9,7,7,0,7,7,2,0,5,39,179,106,4,1,1,0,32,0,0,1,0,0,0,1,5,Roberto Ortiz,"K.Freeland (4-34), C.Bettis (3), B.Shaw (1-BL), M.Dunn (0), Y.Almonte (8)"
