Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
35,35,44320,@,SDP,"W,7-6",9,10,6,6,0,4,8,2,2,3.91,42,190,121,5,2,0,0,35,1,0,0,0,1,1,2,7,Alan Porter,"R.Hill (5-38), P.Baez (2), J.Kelly (4-H), Y.Garcia (3-BSv), S.Alexander 
(0), R.Stripling (4-W), K.Jansen (0-Sv)"
36,36,44321,@,SDP,"L,5-8",8.2,7,8,8,0,3,12,2,0,4.03,36,132,90,0,0,0,0,32,1,1,0,0,1,0,0,4,Ramon De Jesus,"K.Maeda (5-53), R.Stripling (0), P.Baez (0-H), K.Jansen (0-BL)"
37,37,44322,x,ATL,"W,5-3",9,5,3,3,0,0,10,2,0,4,32,132,97,0,0,2,0,32,0,0,0,0,0,0,0,3,Eric Cooper,"W.Buehler (5-63-W), P.Baez (0-H), J.Urias (4-Sv)"
38,38,44323,x,ATL,"W,9-0",9,4,0,0,0,0,6,0,0,3.9,30,93,67,,,0,0,30,1,0,0,0,0,0,1,1,Andy Fletcher,H.Ryu (5-85-W)
39,39,44324,x,ATL,"W,9-4",9,11,4,4,0,1,7,1,0,3.9,38,132,94,4,1,1,0,37,2,0,0,0,0,0,1,4,Will Little,"C.Kershaw (4-43-W), S.Alexander (3), D.Floro (4-H), J.Kelly (3)"
40,40,44325,x,WSN,"L,0-6",9,9,6,3,3,3,7,1,1,3.88,40,166,104,0,0,2,1,35,2,0,0,1,0,2,0,4,Gerry Davis,"R.Hill (4-48-L), Y.Garcia (4), D.Floro (0), J.Kelly (0)"
41,41,44326,x,WSN,"W,5-0",9,4,0,0,0,2,7,0,1,3.78,34,126,84,0,0,0,0,31,0,0,0,0,0,0,0,2,Pat Hoberg,"K.Maeda (4-74-W), J.Urias (3-Sv)"
42,42,44327,x,WSN,"L,2-5",9,7,5,0,5,2,10,1,0,3.69,36,142,98,6,4,0,0,33,1,0,0,1,0,0,0,5,Jeremie Rehak,"W.Buehler (4-75), P.Baez (4-L), S.Alexander (2), D.Floro (1-BSv), Y.Garcia 
(1)"
43,43,44328,x,WSN,"W,6-0",9,1,0,0,0,1,10,0,0,3.6,29,130,90,0,0,0,0,28,1,0,0,0,0,0,0,2,Brian Knight,"H.Ryu (4-88-W), K.Jansen (6)"
44,44,44330,x,SDP,"W,6-3",9,7,3,3,0,1,7,2,0,3.59,32,126,83,0,0,0,0,31,2,0,0,0,0,0,3,3,Alfonso Marquez,"C.Kershaw (5-59-W), P.Baez (2-H), K.Jansen (1-Sv)"
